Hora;Mes;Hidraul;Eolica;Demanda;Ciclocomb;Cogener;Nuclear;Carbon;Clases
17;1;1853;4639;21736.9;1675;3161.3;6999.6;5882.8;0
18;1;3243.7;4512.7;23618.1;1945.6;3256.4;7018.6;5815;1
19;1;4593.8;4573.6;25163.5;1945.6;3267.8;7040.6;5815;1
20;1;4923.2;4665.4;26473.2;1945.6;3268.8;7060.6;5815;1
21;1;4969.1;4751.8;26514.3;1945.6;3305.5;7081.6;5825.8;1
22;1;4505.6;4875.1;25045.9;1945.6;3194.6;7103.6;5895;1
23;1;3240.7;4965.3;22521.8;1150.6;3189.5;7109.5;5788;1
0;1;2354.1;3404.4;20181;1250.6;3005.1;7110.5;6695;1
1;1;1062.6;3306.8;18167;1210.6;2954.6;7110.5;6228;0
2;1;994.3;3219.9;17033.5;1170.6;2982.6;7110.5;5370.4;0
3;1;1014.6;3250;16560.3;1170.6;3138.5;7110.5;4819.5;0
4;1;1087.2;3348.3;16599.9;1220.6;3138;7110.5;4699.7;0
5;1;1042.2;3412;17238.9;1370.6;3144.4;7110.5;4992.2;0
6;1;1537.4;3494.6;19741.5;1468.3;3267.2;7110.5;6738.2;0
7;1;2784.8;3639.5;24832.9;3455.6;3386.5;7110.5;6951;1
8;1;4053.2;3782.1;27736.5;3915.6;3545.2;7109.6;7136;1
9;1;4435.9;3880.7;28528.1;3947.6;3552.4;7110.5;7256;1
10;1;4886.2;3804.9;28802.2;3947.6;3564.6;7110.5;7286;1
11;1;4668.5;3786.5;29451.4;3944.7;3559.5;7110.5;7286;1
12;1;3946.5;3876.6;29326.8;3891.6;3563.4;7109.5;7286;1
13;1;3445.7;4274.4;29635.6;3891.6;3544.7;7109.5;7286;1
14;1;2690.7;4655.1;29076.7;3631.6;3541;7109.5;7286;0
15;1;2460.4;5068.3;28513.4;3194.8;3547.5;7109.5;7286;0
16;1;2308.5;5501.1;27678;2923.3;3549.2;7109.5;7253.8;0
17;1;2453.1;6128.1;27779;3279;3582.8;7109.5;7286;0
18;1;3628.9;6828.1;29379.9;3891.6;3622.7;7110.5;7286;1
19;1;4195.7;7393;30554.9;3947.6;3611.2;7110.5;7345;1
20;1;4118.8;7775.4;30975;3947.6;3612.7;7110.5;7345;1
21;1;3824.4;8064.3;31282.8;3947.6;3599.6;7110.5;7456;1
22;1;2283.6;8246.6;28421.3;2717.1;3597.3;7110.5;7407.1;0
23;1;1625.1;8390.2;24973.6;1660.6;3422.8;7110.5;6702.3;0
0;1;1417.7;9203;21517;1663.6;3373.5;7110.5;3711.4;0
1;1;1273.1;9322.7;21242.6;1567.6;3372.1;7110.5;3017;0
2;1;1494.1;9355;21234.7;1546.6;3379.2;7110.5;2902;0
3;1;1432.1;9339.8;20738.6;1246.6;3372.9;7110.5;2722;0
4;1;1432;9376.9;20782.7;1215.8;3370.3;7110.5;2653.6;0
